cnt,temp,hum,windspeed
162,0.2,0.4,0.2836
144,0.2,0.4,0.3284
99,0.16,0.47,0.2537
64,0.16,0.47,0.2239
40,0.14,0.46,0.2985
30,0.14,0.46,0.3284
15,0.12,0.5,0.194
14,0.12,0.5,0.194
5,0.1,0.54,0.1642
1,0.1,0.54,0.1343
1,0.1,0.54,0.1045
8,0.1,0.54,0.0896
17,0.1,0.54,0.0
70,0.1,0.74,0.1642
158,0.12,0.68,0.0
117,0.14,0.69,0.1343
44,0.18,0.55,0.194
53,0.18,0.51,0.2836
61,0.2,0.44,0.2537
77,0.22,0.37,0.3881
64,0.22,0.41,0.2836
68,0.24,0.38,0.1642
90,0.22,0.41,0.1045
159,0.22,0.41,0.1642
139,0.2,0.47,0.0
92,0.16,0.59,0.0896
68,0.18,0.59,0.0
52,0.16,0.69,0.0
36,0.16,0.69,0.0
27,0.18,0.55,0.0
28,0.18,0.55,0.0
20,0.16,0.59,0.0896
12,0.16,0.59,0.0896
8,0.16,0.59,0.0
5,0.16,0.59,0.0
1,0.16,0.59,0.0
3,0.14,0.63,0.1045
10,0.14,0.63,0.0
23,0.14,0.63,0.1343
33,0.16,0.64,0.1343
59,0.18,0.59,0.1642
72,0.2,0.55,0.2239
89,0.24,0.48,0.2239
101,0.28,0.38,0.2985
118,0.3,0.39,0.2836
129,0.32,0.36,0.194
128,0.34,0.34,0.194
83,0.32,0.36,0.2836
84,0.3,0.45,0.2537
74,0.32,0.39,0.2537
41,0.32,0.39,0.2537
57,0.32,0.39,0.2239
26,0.3,0.42,0.1045
44,0.3,0.45,0.2836
39,0.26,0.56,0.0
23,0.26,0.56,0.1343
16,0.26,0.56,0.0896
15,0.22,0.69,0.0
1,0.26,0.56,0.1642
2,0.26,0.56,0.1642
1,0.26,0.56,0.1642
3,0.24,0.56,0.2985
18,0.22,0.55,0.2836
32,0.22,0.51,0.2537
79,0.22,0.51,0.2836
93,0.24,0.44,0.2537
104,0.24,0.41,0.2836
118,0.26,0.35,0.2985
91,0.28,0.36,0.2537
113,0.26,0.38,0.2537
99,0.24,0.38,0.2239
105,0.22,0.37,0.2537
67,0.2,0.4,0.1642
61,0.18,0.47,0.1343
57,0.18,0.47,0.1642
28,0.18,0.51,0.1642
21,0.2,0.49,0.1343
18,0.2,0.4,0.1045
17,0.2,0.47,0.2239
16,0.2,0.44,0.194
8,0.18,0.43,0.2537
2,0.18,0.43,0.194
3,0.18,0.43,0.1343
1,0.18,0.43,0.1642
5,0.18,0.43,0.194
13,0.16,0.5,0.1343
33,0.16,0.47,0.2239
47,0.16,0.47,0.2239
57,0.16,0.5,0.2537
64,0.16,0.55,0.194
80,0.18,0.47,0.1343
93,0.18,0.47,0.1343
86,0.18,0.43,0.1045
93,0.2,0.47,0.1642
82,0.2,0.47,0.1642
71,0.2,0.51,0.194
92,0.18,0.55,0.2537
60,0.18,0.59,0.194
33,0.16,0.8,0.194
27,0.16,0.8,0.194
13,0.14,0.93,0.2537
4,0.16,0.86,0.2836
3,0.2,0.86,0.3284
22,0.2,0.86,0.2239
28,0.22,0.8,0.1642
35,0.22,0.87,0.1642
61,0.22,0.87,0.194
125,0.22,0.82,0.194
133,0.22,0.8,0.1642
99,0.22,0.8,0.1343
83,0.22,0.87,0.0
41,0.22,0.93,0.1045
33,0.22,0.93,0.0896
20,0.22,0.93,0.0
3,0.22,0.93,0.0
7,0.22,0.93,0.1343
3,0.22,0.93,0.1343
2,0.22,0.93,0.1343
7,0.22,0.93,0.0896
32,0.22,0.93,0.0896
90,0.24,0.92,0.1045
197,0.24,0.93,0.1045
109,0.24,0.93,0.1045
47,0.26,0.93,0.1343
52,0.28,0.87,0.0896
70,0.3,0.81,0.0896
78,0.4,0.62,0.2836
75,0.4,0.58,0.2537
82,0.4,0.54,0.2836
104,0.38,0.58,0.3881
197,0.36,0.57,0.3284
161,0.34,0.61,0.2836
112,0.32,0.57,0.4179
76,0.32,0.49,0.2985
59,0.32,0.49,0.4179
59,0.3,0.52,0.1642
28,0.3,0.52,0.4627
13,0.26,0.56,0.3881
5,0.26,0.56,0.0
2,0.26,0.56,0.0
1,0.26,0.56,0.1642
1,0.26,0.56,0.1642
6,0.24,0.6,0.2239
35,0.22,0.6,0.2239
101,0.22,0.55,0.2239
249,0.22,0.55,0.2836
143,0.24,0.52,0.2239
57,0.26,0.48,0.2985
68,0.28,0.45,0.1642
84,0.3,0.42,0.0
98,0.28,0.45,0.1045
81,0.3,0.45,0.1343
70,0.32,0.45,0.194
91,0.3,0.49,0.1343
215,0.3,0.49,0.1045
185,0.26,0.56,0.194
152,0.26,0.56,0.3284
126,0.26,0.6,0.2836
57,0.24,0.6,0.2537
56,0.24,0.65,0.2836
31,0.24,0.65,0.3284
21,0.24,0.7,0.2537
6,0.24,0.7,0.2537
2,0.24,0.75,0.1642
1,0.22,0.8,0.2985
1,0.22,0.87,0.0896
5,0.24,0.6,0.4179
27,0.22,0.55,0.2537
68,0.2,0.51,0.2836
217,0.2,0.47,0.3284
166,0.2,0.51,0.3582
63,0.2,0.47,0.4627
59,0.22,0.41,0.4627
78,0.22,0.27,0.5821
73,0.2,0.21,0.5821
62,0.2,0.25,0.5224
65,0.16,0.26,0.4478
97,0.16,0.26,0.3582
161,0.14,0.28,0.3582
120,0.12,0.3,0.2537
96,0.12,0.3,0.3284
53,0.1,0.33,0.4179
41,0.08,0.38,0.2836
34,0.06,0.41,0.3881
27,0.06,0.38,0.3284
13,0.04,0.45,0.2537
12,0.04,0.41,0.3881
11,0.04,0.41,0.2537
7,0.04,0.41,0.2836
3,0.02,0.48,0.2985
2,0.02,0.44,0.2239
8,0.02,0.44,0.2836
27,0.02,0.44,0.3284
40,0.04,0.41,0.2537
53,0.04,0.41,0.1642
63,0.06,0.38,0.1343
70,0.06,0.38,0.1045
84,0.08,0.35,0.0
75,0.1,0.33,0.1045
103,0.12,0.28,0.0
83,0.12,0.28,0.194
67,0.12,0.28,0.0
54,0.08,0.35,0.194
59,0.08,0.35,0.1343
45,0.06,0.45,0.1642
39,0.06,0.41,0.0896
30,0.06,0.49,0.0
33,0.04,0.57,0.1045
22,0.04,0.57,0.1045
13,0.04,0.57,0.1045
18,0.02,0.62,0.1343
5,0.02,0.62,0.1343
3,0.04,0.57,0.1045
1,0.04,0.57,0.1045
2,0.08,0.58,0.1642
19,0.06,0.62,0.1642
28,0.1,0.54,0.3582
58,0.14,0.46,0.3881
99,0.14,0.43,0.2239
116,0.16,0.37,0.4627
87,0.14,0.33,0.3881
110,0.16,0.28,0.3582
77,0.16,0.28,0.3582
65,0.16,0.26,0.3284
55,0.14,0.26,0.3881
49,0.12,0.3,0.2537
50,0.12,0.3,0.2836
35,0.1,0.36,0.2537
25,0.1,0.36,0.194
28,0.08,0.38,0.194
21,0.06,0.41,0.2239
7,0.06,0.41,0.194
1,0.04,0.45,0.194
1,0.04,0.45,0.2537
1,0.02,0.48,0.1343
5,0.02,0.48,0.1343
15,0.02,0.48,0.0896
84,0.02,0.48,0.0
177,0.04,0.49,0.0
102,0.06,0.41,0.0
40,0.1,0.42,0.0
46,0.1,0.46,0.1343
63,0.12,0.42,0.194
60,0.14,0.43,0.2239
45,0.14,0.46,0.2239
57,0.16,0.4,0.1642
70,0.16,0.47,0.2537
184,0.14,0.5,0.2537
153,0.14,0.59,0.194
106,0.14,0.54,0.1642
81,0.14,0.59,0.194
59,0.14,0.63,0.1642
35,0.14,0.63,0.2239
24,0.16,0.64,0.2537
9,0.16,0.69,0.2836
5,0.16,0.69,0.1642
2,0.16,0.69,0.2239
1,0.14,0.74,0.1045
9,0.14,0.74,0.2239
36,0.16,0.74,0.1045
108,0.16,0.74,0.2239
238,0.16,0.74,0.1343
144,0.2,0.64,0.0896
55,0.22,0.6,0.1045
61,0.24,0.6,0.1343
106,0.26,0.56,0.0896
93,0.26,0.56,0.1343
68,0.3,0.45,0.0
84,0.32,0.42,0.0
116,0.32,0.42,0.0
222,0.3,0.45,0.0
225,0.3,0.49,0.0896
146,0.26,0.65,0.1642
119,0.24,0.65,0.194
45,0.24,0.65,0.194
53,0.22,0.64,0.1642
40,0.22,0.64,0.1642
17,0.22,0.69,0.1343
5,0.24,0.65,0.1343
10,0.22,0.69,0.194
1,0.2,0.86,0.2836
8,0.2,0.86,0.2836
30,0.22,0.87,0.2985
72,0.22,0.87,0.2985
58,0.22,0.87,0.2985
28,0.22,0.93,0.2836
41,0.22,0.93,0.3284
48,0.22,0.93,0.3284
47,0.22,0.93,0.3284
36,0.22,0.93,0.3582
43,0.22,0.93,0.4627
36,0.22,0.93,0.3284
26,0.2,0.93,0.3582
24,0.22,0.55,0.194
84,0.22,0.55,0.1045
104,0.2,0.69,0.0896
79,0.2,0.69,0.0896
59,0.18,0.74,0.0896
38,0.18,0.74,0.0896
27,0.18,0.74,0.0896
16,0.18,0.8,0.1642
9,0.2,0.75,0.1343
3,0.2,0.75,0.1343
2,0.2,0.75,0.1642
1,0.2,0.75,0.1045
4,0.18,0.8,0.1045
16,0.18,0.8,0.1343
60,0.16,0.86,0.0896
157,0.16,0.86,0.0896
101,0.18,0.86,0.0896
49,0.18,0.86,0.1045
30,0.18,0.93,0.1045
29,0.18,0.93,0.1045
31,0.18,0.93,0.1045
38,0.22,0.8,0.0
41,0.2,0.86,0.0
80,0.22,0.8,0.0
149,0.24,0.75,0.1343
109,0.24,0.75,0.194
89,0.24,0.75,0.1343
62,0.24,0.7,0.194
58,0.22,0.75,0.1343
26,0.24,0.65,0.3582
23,0.24,0.6,0.2239
28,0.22,0.64,0.3582
20,0.22,0.64,0.194
15,0.22,0.64,0.1642
8,0.2,0.64,0.1343
3,0.16,0.69,0.1045
2,0.16,0.64,0.1343
5,0.16,0.59,0.1045
34,0.18,0.55,0.1642
34,0.18,0.59,0.0896
55,0.18,0.64,0.1045
64,0.18,0.64,0.1343
78,0.2,0.59,0.194
65,0.22,0.55,0.1642
99,0.22,0.6,0.1343
120,0.22,0.69,0.2537
107,0.24,0.6,0.1642
91,0.24,0.6,0.0
68,0.22,0.69,0.1343
58,0.22,0.69,0.2537
43,0.18,0.74,0.0896
36,0.18,0.74,0.0896
32,0.16,0.8,0.0896
33,0.16,0.8,0.0896
33,0.16,0.8,0.1045
29,0.14,0.8,0.0
11,0.16,0.8,0.0
8,0.14,0.93,0.0
1,0.14,0.93,0.0
3,0.14,0.86,0.0
3,0.14,0.86,0.0
12,0.14,0.86,0.0
38,0.16,0.8,0.0
64,0.18,0.8,0.0
59,0.22,0.75,0.0
97,0.3,0.52,0.1045
84,0.28,0.61,0.1045
122,0.28,0.61,0.0896
109,0.3,0.56,0.0
123,0.3,0.56,0.0
77,0.3,0.56,0.194
65,0.26,0.65,0.1642
55,0.26,0.65,0.194
33,0.26,0.65,0.1045
28,0.24,0.7,0.1642
21,0.24,0.7,0.194
21,0.24,0.65,0.2836
7,0.24,0.65,0.2239
7,0.22,0.64,0.2537
1,0.22,0.64,0.194
2,0.22,0.64,0.194
2,0.2,0.59,0.2239
8,0.18,0.64,0.2836
37,0.16,0.69,0.3284
72,0.16,0.64,0.2836
185,0.16,0.59,0.2836
112,0.16,0.59,0.2985
69,0.16,0.59,0.194
48,0.16,0.59,0.194
68,0.18,0.55,0.1045
54,0.16,0.59,0.0
86,0.18,0.55,0.1343
44,0.16,0.59,0.1343
86,0.16,0.56,0.194
161,0.16,0.59,0.194
156,0.16,0.55,0.2239
111,0.3,0.61,0.1045
78,0.16,0.59,0.1642
56,0.16,0.59,0.0896
34,0.16,0.59,0.1045
17,0.16,0.64,0.0896
8,0.16,0.64,0.1045
3,0.16,0.69,0.1045
2,0.16,0.69,0.0
2,0.16,0.69,0.0
3,0.14,0.93,0.0
22,0.14,0.93,0.0
52,0.16,0.93,0.0
135,0.16,0.93,0.0
116,0.16,0.93,0.0
47,0.16,0.93,0.0
51,0.18,0.86,0.0
55,0.2,0.86,0.0
52,0.2,0.86,0.0
54,0.22,0.8,0.0896
52,0.24,0.75,0.0
64,0.24,0.75,0.1343
176,0.24,0.75,0.0
168,0.24,0.81,0.1045
108,0.24,0.81,0.1343
74,0.22,0.87,0.1343
64,0.22,0.87,0.1343
36,0.22,0.87,0.0896
16,0.2,0.93,0.194
2,0.22,0.93,0.1045
3,0.22,0.93,0.194
4,0.22,0.93,0.1343
1,0.22,0.93,0.1343
1,0.22,0.93,0.2836
3,0.22,0.93,0.1045
18,0.22,0.93,0.1045
49,0.22,0.93,0.2239
155,0.22,0.93,0.2239
123,0.24,0.93,0.0896
61,0.22,1.0,0.0
52,0.24,0.93,0.194
64,0.24,0.93,0.2239
75,0.34,0.93,0.1642
63,0.38,0.82,0.3881
76,0.38,0.76,0.3284
103,0.36,0.71,0.2985
190,0.36,0.53,0.5224
182,0.34,0.42,0.5522
91,0.28,0.45,0.4925
75,0.24,0.48,0.5522
63,0.22,0.47,0.3284
40,0.22,0.44,0.2537
32,0.2,0.44,0.4478
12,0.2,0.4,0.4478
5,0.2,0.44,0.5224
2,0.18,0.43,0.2537
1,0.18,0.43,0.2537
2,0.16,0.5,0.2985
39,0.16,0.43,0.3582
87,0.14,0.5,0.3284
188,0.14,0.5,0.3582
133,0.16,0.47,0.2985
52,0.18,0.43,0.3284
64,0.18,0.43,0.4478
69,0.2,0.4,0.3582
51,0.2,0.4,0.4179
47,0.22,0.37,0.3881
60,0.22,0.37,0.3284
78,0.22,0.37,0.2537
175,0.2,0.4,0.194
147,0.2,0.4,0.1642
96,0.2,0.4,0.0
109,0.2,0.47,0.0896
54,0.18,0.55,0.1045
41,0.18,0.51,0.0896
38,0.2,0.47,0.1045
13,0.2,0.44,0.0
7,0.16,0.59,0.0
1,0.14,0.63,0.1045
1,0.14,0.63,0.1045
7,0.14,0.63,0.1343
28,0.16,0.55,0.0
87,0.14,0.59,0.0
220,0.14,0.74,0.1343
127,0.16,0.8,0.1343
51,0.2,0.51,0.1343
64,0.22,0.51,0.1642
86,0.24,0.48,0.1642
82,0.26,0.5,0.2239
91,0.28,0.45,0.1642
90,0.28,0.48,0.2537
99,0.3,0.42,0.2239
205,0.26,0.56,0.1343
155,0.24,0.6,0.1045
103,0.24,0.65,0.1343
71,0.24,0.65,0.1642
43,0.24,0.7,0.1642
46,0.24,0.65,0.1642
31,0.24,0.7,0.1343
39,0.24,0.7,0.1642
18,0.24,0.65,0.1642
17,0.24,0.75,0.1642
11,0.24,0.75,0.1642
8,0.22,0.93,0.1343
9,0.2,1.0,0.0896
4,0.2,1.0,0.0
4,0.22,0.93,0.0896
10,0.2,1.0,0.0896
20,0.2,1.0,0.0896
34,0.2,1.0,0.1343
47,0.22,1.0,0.1343
52,0.22,1.0,0.1642
72,0.22,1.0,0.1642
55,0.22,1.0,0.0
60,0.22,1.0,0.0
71,0.22,1.0,0.1343
78,0.24,1.0,0.2836
83,0.28,0.93,0.4478
84,0.28,0.93,0.4478
69,0.3,0.87,0.2537
56,0.26,1.0,0.194
45,0.26,0.93,0.1343
59,0.26,0.93,0.2239
39,0.26,0.7,0.194
44,0.26,0.65,0.4179
20,0.26,0.6,0.3284
13,0.26,0.6,0.0896
2,0.26,0.6,0.3582
1,0.26,0.6,0.2239
1,0.26,0.6,0.2239
8,0.24,0.65,0.1642
23,0.24,0.65,0.1045
45,0.28,0.56,0.1045
89,0.3,0.52,0.2537
117,0.32,0.49,0.2537
174,0.34,0.46,0.0
182,0.34,0.46,0.0
161,0.34,0.46,0.0896
182,0.34,0.46,0.0896
157,0.34,0.49,0.1045
121,0.34,0.46,0.0
78,0.3,0.56,0.1642
21,0.28,0.61,0.1343
26,0.28,0.61,0.1045
27,0.26,0.6,0.0
62,0.26,0.6,0.0
30,0.24,0.65,0.0
15,0.24,0.65,0.0
5,0.22,0.75,0.0
3,0.2,0.8,0.0
1,0.2,0.86,0.0
2,0.2,0.86,0.0
10,0.2,0.86,0.0
30,0.18,0.93,0.0
95,0.18,0.86,0.0
230,0.16,1.0,0.0
118,0.22,0.8,0.0
55,0.24,0.75,0.1045
47,0.3,0.65,0.0896
66,0.32,0.62,0.0
64,0.36,0.57,0.0896
60,0.36,0.57,0.0896
50,0.38,0.54,0.0896
114,0.36,0.57,0.1343
216,0.32,0.7,0.1642
175,0.34,0.66,0.1343
128,0.32,0.7,0.0
88,0.32,0.7,0.1045
78,0.32,0.7,0.0
37,0.28,0.81,0.0896
25,0.3,0.81,0.0
10,0.28,0.87,0.0
4,0.28,0.87,0.0
2,0.26,0.93,0.1045
1,0.28,0.93,0.1642
3,0.26,0.93,0.1642
2,0.26,0.81,0.3284
39,0.26,0.7,0.3284
100,0.24,0.65,0.4179
243,0.24,0.56,0.4925
135,0.24,0.52,0.4925
48,0.22,0.47,0.5522
50,0.22,0.47,0.4627
65,0.24,0.38,0.4925
50,0.24,0.32,0.4478
64,0.22,0.37,0.4179
51,0.22,0.35,0.3881
83,0.22,0.35,0.5224
176,0.22,0.32,0.5821
152,0.2,0.32,0.3881
101,0.16,0.4,0.4627
56,0.16,0.4,0.3284
54,0.14,0.33,0.4627
29,0.12,0.33,0.3582
12,0.12,0.33,0.3284
17,0.1,0.36,0.3582
7,0.1,0.36,0.2239
3,0.08,0.38,0.2836
2,0.06,0.45,0.1343
7,0.06,0.45,0.1045
43,0.06,0.45,0.0
99,0.06,0.49,0.1045
199,0.1,0.42,0.0
123,0.12,0.39,0.1642
59,0.14,0.36,0.0
41,0.14,0.43,0.1642
61,0.18,0.4,0.2239
69,0.18,0.4,0.2537
58,0.2,0.34,0.2985
64,0.2,0.34,0.2836
79,0.2,0.37,0.2537
166,0.2,0.34,0.2537
170,0.18,0.47,0.2985
88,0.14,0.86,0.2537
84,0.14,0.86,0.1642
83,0.14,0.86,0.1642
46,0.16,0.8,0.1642
37,0.16,0.8,0.194
16,0.14,0.86,0.194
7,0.14,0.8,0.1343
3,0.14,0.8,0.1343
1,0.14,0.59,0.2239
6,0.12,0.5,0.2239
26,0.12,0.54,0.2836
99,0.1,0.5,0.4179
178,0.1,0.49,0.3284
122,0.12,0.42,0.3582
35,0.12,0.42,0.2985
45,0.14,0.39,0.3582
69,0.16,0.34,0.3881
62,0.18,0.29,0.2985
48,0.2,0.27,0.2836
50,0.2,0.25,0.2537
80,0.2,0.27,0.2985
165,0.18,0.26,0.194
160,0.16,0.28,0.1343
112,0.14,0.28,0.1045
97,0.14,0.31,0.0896
72,0.14,0.39,0.0
51,0.12,0.39,0.0
34,0.12,0.42,0.1045
14,0.1,0.49,0.1045
7,0.1,0.54,0.0896
3,0.1,0.54,0.0896
4,0.08,0.63,0.0896
24,0.1,0.68,0.0
74,0.08,0.73,0.0
216,0.1,0.74,0.1642
140,0.12,0.74,0.2239
44,0.14,0.69,0.194
64,0.22,0.47,0.1343
71,0.22,0.47,0.1343
110,0.24,0.35,0.194
84,0.3,0.26,0.2537
74,0.32,0.21,0.1642
125,0.3,0.28,0.194
211,0.3,0.24,0.0
174,0.28,0.28,0.0
101,0.26,0.33,0.0
63,0.22,0.55,0.1343
47,0.2,0.59,0.1343
43,0.2,0.64,0.0896
53,0.18,0.69,0.0
